p_val	pct.1	pct.2	p_val_adj	diff
ENST00000421473.6	0.00191193512334663	0.174	0	0.653881812184549	-0.00148629676085709
ENST00000422650.6	0.00191193512334663	0.174	0	0.653881812184549	-0.00148629676085709
ENST00000432462.6	0.00191193512334663	0.174	0	0.653881812184549	-0.00148629676085709
ENST00000436628.6	0.00191193512334663	0.174	0	0.653881812184549	-0.00148629676085709
ENST00000633925.1	0.00205289819097168	0.479	0	0.702091181312316	0.00360756293553991
ENST00000519196.5	0.00211606412970635	0	0.202	0.723693932359571	-0.00562517486343714
ENST00000309268.10	0.00242984724651387	0	0.19	0.831007758307742	-0.0139242643169238
ENST00000362079.2	0.00246942989682329	0	0.311	0.844545024713564	0.00208046916524755
ENST00000238831.8	0.00262646365382877	0.121	0	0.898250569609439	0.0019138565777051
ENST00000460105.1	0.00276514081523291	0.044	0	0.945678158809657	0.000973196834551386
ENST00000614617.4	0.00280008797150226	0.068	0	0.957630086253772	0.0014451811069662
ENST00000356674.7	0.003020907229984	0	0.144	1	0.00231494858186783
ENST00000300289.9	0.00326299848730456	0.133	0	1	-0.000235836411074519
ENST00000458537.7	0.00344703133796825	0.08	0	1	0.00131655178941546
ENST00000409535.6	0.0035051796992111	0.074	0	1	0.000502725682127531
ENST00000379607.9	0.00388468987528768	0	0.086	1	0.000464901369851107
ENST00000340384.4	0.00425101835863049	0.108	0	1	-0.00171956023835936
ENST00000396861.5	0.00442404647484832	0.157	0	1	0.00105165835352162
ENST00000615603.4	0.00442818716473579	0.068	0	1	0.0013935639658219
ENST00000445125.2	0.00447328919928794	0	0.256	1	-0.0160470670376164
ENST00000361453.3	0.00448823729611952	0	0.467	1	0.00280950179854976
ENST00000380394.8	0.00460346328689883	0	0.164	1	-0.00324000647102921
ENST00000329251.4	0.00473633072092701	0	0.15	1	-0.00279268908403792
ENST00000317508.10	0.00484706989392144	0.036	0	1	-0.00146923818272522
ENST00000647239.1	0.0061786972441774	0	0.115	1	-0.00950444462148794
ENST00000466525.1	0.00621825757452639	0.049	0	1	-0.00109718149513777
ENST00000316084.9	0.00629646215704902	0	0.176	1	-0.000927192438679477
ENST00000216146.8	0.00637939702525733	0	0.144	1	-0.0090716918478774
ENST00000627982.2	0.00662528191858044	0.214	0	1	0.00423967281916134
ENST00000261313.2	0.00690563274029241	0.324	0	1	-0.00281818150420576
ENST00000596244.1	0.00705307757492903	0	0.412	1	-0.0165297143631714
ENST00000242351.9	0.00739508455955426	0.07	0	1	0.00205549318755922
ENST00000262193.6	0.00786712998718296	0	0.159	1	0.00224545184877668
ENST00000361891.8	0.00866664242106748	0	0.164	1	0.00189941882408881
ENST00000373316.4	0.00942503968670944	0	0.112	1	-0.00633495444672867
ENST00000510678.5	0.00944195804053338	0.343	0	1	0.00598188472660883
ENST00000327892.12	0.00997064532300022	0.174	0.167	1	0.00219222067399608
ENST00000568588.5	0.0105079275270433	0	0.13	1	-0.00602169966623734
ENST00000463799.1	0.0107665249930733	0.112	0.424	1	-0.0121195130885647
ENST00000615060.4	0.0134691129371975	0.062	0	1	-0.000696662726594907
ENST00000375772.7	0.0141656479376037	0.025	0	1	-0.00153918953734477
ENST00000527958.5	0.0142677023592501	0.085	0	1	-9.67409886797986e-05
ENST00000476458.1	0.0143596126594791	0.064	0	1	0.000813686344044824
ENST00000475432.6	0.0144946950421721	0.121	0	1	0.0021190265031912
ENST00000255320.6	0.0151809535429602	0.129	0.095	1	-0.00332423248551365
ENST00000265462.8	0.01547378344144	0.271	0.167	1	-0.00325434275957519
ENST00000468812.5	0.0160226997278843	0.316	0.092	1	-0.00302223462202845
ENST00000479249.5	0.0166559804693177	0.062	0	1	0.00209064659922602
ENST00000480677.5	0.0166559804693177	0.062	0	1	0.00209064659922602
ENST00000319248.12	0.016701956416439	0	0.13	1	-0.0029381898039606
ENST00000561775.5	0.016701956416439	0	0.13	1	-0.00332917564180079
